poll	workload	req_delay	req_min	req_max	rep_delay	rep_min	rep_max
20	5	7.503	0.072	25.318	1.636	0.005	7.408
40	5	2.205	1.037	5.884	7.097	0.005	65.516
60	5	1.938	0.737	4.742	0.045	0.004	0.177
80	5	0.056	0.037	0.115	0.005	0.004	0.007
100	5	0.118	0.047	0.185	0.093	0.024	0.202
120	5	0.104	0.057	0.271	0.028	0.004	0.081
140	5	0.077	0.069	0.088	0.005	0.004	0.007
160	5	0.172	0.091	0.259	0.004	0.004	0.006
180	5	0.092	0.083	0.099	0.005	0.004	0.007
200	5	0.106	0.093	0.127	0.004	0.004	0.006
220	5	0.122	0.113	0.133	0.004	0.004	0.005
240	5	0.129	0.119	0.139	0.004	0.004	0.005
260	5	0.145	0.131	0.165	0.004	0.004	0.007
280	5	0.152	0.136	0.170	0.007	0.004	0.034
300	5	0.158	0.138	0.178	0.004	0.004	0.006
320	5	0.177	0.151	0.197	0.004	0.004	0.005
340	5	0.196	0.172	0.216	0.005	0.004	0.011
360	5	0.194	0.172	0.213	0.004	0.004	0.005
380	5	0.209	0.176	0.236	0.005	0.004	0.011
400	5	0.227	0.190	0.294	0.005	0.004	0.017
420	5	0.251	0.220	0.290	0.005	0.004	0.014
440	5	0.244	0.214	0.271	0.005	0.004	0.007
460	5	0.266	0.232	0.297	0.004	0.004	0.006
480	5	0.269	0.230	0.302	0.004	0.004	0.005
500	5	0.293	0.229	0.328	0.004	0.004	0.006
520	5	0.304	0.273	0.338	0.004	0.004	0.004
540	5	0.321	0.286	0.365	0.005	0.004	0.017
560	5	0.338	0.274	0.381	0.004	0.004	0.005
580	5	0.351	0.325	0.384	0.004	0.004	0.004
600	5	0.361	0.287	0.417	0.004	0.004	0.005
620	5	0.384	0.326	0.431	0.004	0.004	0.006
640	5	0.397	0.319	0.481	0.004	0.004	0.004
660	5	0.394	0.354	0.446	0.004	0.004	0.004
680	5	0.427	0.356	0.486	0.004	0.004	0.008
700	5	0.436	0.361	0.541	0.004	0.004	0.006
720	5	0.441	0.354	0.536	0.004	0.004	0.005
740	5	0.463	0.385	0.528	0.004	0.004	0.006
760	5	0.469	0.374	0.545	0.005	0.004	0.012
780	5	0.490	0.387	0.580	0.006	0.004	0.012
800	5	0.510	0.424	0.615	0.006	0.004	0.015
820	5	0.564	0.451	0.649	0.004	0.004	0.004
840	5	0.537	0.441	0.636	0.004	0.004	0.004
860	5	0.592	0.450	0.725	0.005	0.004	0.013
880	5	0.584	0.474	0.731	0.004	0.004	0.005
900	5	0.557	0.458	0.689	0.005	0.004	0.016
920	5	0.626	0.539	0.782	0.004	0.004	0.006
940	5	0.599	0.482	0.698	0.004	0.004	0.004
960	5	0.605	0.477	0.733	0.004	0.004	0.004
980	5	0.665	0.517	0.836	0.004	0.004	0.004
1000	5	0.653	0.492	0.776	0.004	0.004	0.006
1020	5	0.678	0.566	0.759	0.004	0.004	0.004
1040	5	0.743	0.611	0.903	0.004	0.004	0.005
1060	5	0.716	0.596	0.881	0.004	0.004	0.005
1080	5	0.743	0.648	0.896	0.004	0.004	0.004
1100	5	0.744	0.662	0.843	0.004	0.004	0.005
1120	5	0.787	0.673	0.894	0.004	0.004	0.004
1140	5	0.804	0.699	0.962	0.004	0.004	0.004
1160	5	0.825	0.709	0.962	0.004	0.004	0.005
1180	5	0.841	0.705	0.971	0.004	0.004	0.004
1200	5	0.841	0.684	0.982	0.004	0.004	0.004
1220	5	0.889	0.780	0.985	0.004	0.004	0.004
1240	5	0.904	0.756	1.036	0.004	0.004	0.004
1260	5	0.922	0.748	1.079	0.004	0.004	0.004
1280	5	0.971	0.813	1.157	0.004	0.004	0.005
1300	5	0.980	0.825	1.124	0.006	0.004	0.022
1320	5	0.973	0.787	1.133	0.004	0.004	0.004
1340	5	1.041	0.930	1.205	0.004	0.004	0.004
1360	5	1.055	0.930	1.220	0.005	0.004	0.012
1380	5	1.065	0.846	1.191	0.004	0.004	0.004
1400	5	1.087	0.902	1.295	0.004	0.004	0.004
1420	5	1.153	0.991	1.346	0.004	0.004	0.004
1440	5	1.124	0.995	1.296	0.004	0.004	0.004
1460	5	1.204	1.090	1.336	0.004	0.004	0.004
1480	5	1.291	1.041	1.505	0.004	0.004	0.004
1500	5	1.269	1.123	1.422	0.004	0.004	0.004
1520	5	1.213	1.068	1.413	0.005	0.004	0.018
1540	5	1.397	1.144	1.643	0.004	0.004	0.007
1560	5	1.343	1.068	1.598	0.004	0.004	0.005
1580	5	1.503	1.231	1.711	0.004	0.004	0.005
1600	5	1.510	1.221	1.747	0.004	0.004	0.005
1620	5	1.539	1.249	1.761	0.004	0.004	0.005
1640	5	1.626	1.322	1.887	0.005	0.004	0.009
1660	5	1.612	1.359	1.979	0.004	0.004	0.004
1680	5	1.585	1.383	1.816	0.004	0.004	0.004
1700	5	1.652	1.475	1.979	0.005	0.004	0.017
1720	5	1.732	1.375	2.019	0.004	0.004	0.004
1740	5	1.671	1.374	1.975	0.004	0.004	0.004
1760	5	1.783	1.456	2.108	0.004	0.004	0.004
1780	5	1.822	1.501	2.064	0.004	0.004	0.004
1800	5	1.879	1.480	2.248	0.004	0.004	0.005
1820	5	1.934	1.566	2.279	0.004	0.004	0.004
1840	5	1.994	1.593	2.248	0.004	0.004	0.005
1860	5	1.930	1.568	2.221	0.004	0.004	0.004
1880	5	2.033	1.600	2.418	0.005	0.004	0.015
