poll	workload	req_delay	req_min	req_max	rep_delay	rep_min	rep_max
320	60	0.162	0.162	0.162	0.004	0.004	0.004
640	60	0.318	0.318	0.318	0.004	0.004	0.004
960	60	0.481	0.481	0.481	0.004	0.004	0.004
320	65	0.164	0.164	0.164	0.004	0.004	0.004
640	65	0.317	0.317	0.317	0.004	0.004	0.004
960	65	0.470	0.470	0.470	0.004	0.004	0.004
320	70	0.156	0.156	0.156	0.004	0.004	0.004
640	70	0.312	0.312	0.312	0.004	0.004	0.004
960	70	0.486	0.486	0.486	0.004	0.004	0.004
320	75	0.165	0.165	0.165	0.004	0.004	0.004
640	75	0.325	0.325	0.325	0.004	0.004	0.004
960	75	0.489	0.489	0.489	0.004	0.004	0.004
320	80	0.165	0.165	0.165	0.004	0.004	0.004
640	80	0.321	0.321	0.321	0.004	0.004	0.004
960	80	0.477	0.477	0.477	0.004	0.004	0.004
320	85	0.166	0.166	0.166	0.004	0.004	0.004
640	85	0.319	0.319	0.319	0.004	0.004	0.004
960	85	0.482	0.482	0.482	0.004	0.004	0.004
320	90	0.162	0.162	0.162	0.004	0.004	0.004
640	90	0.317	0.317	0.317	0.004	0.004	0.004
960	90	0.467	0.467	0.467	0.004	0.004	0.004
320	95	0.161	0.161	0.161	0.004	0.004	0.004
640	95	0.319	0.319	0.319	0.004	0.004	0.004
960	95	0.479	0.479	0.479	0.004	0.004	0.004
320	100	0.158	0.158	0.158	0.004	0.004	0.004
640	100	0.311	0.311	0.311	0.004	0.004	0.004
960	100	0.477	0.477	0.477	0.004	0.004	0.004
320	105	0.162	0.162	0.162	0.004	0.004	0.004
640	105	0.313	0.313	0.313	0.004	0.004	0.004
960	105	0.486	0.486	0.486	0.004	0.004	0.004
320	110	0.167	0.167	0.167	0.004	0.004	0.004
640	110	0.327	0.327	0.327	0.004	0.004	0.004
960	110	0.478	0.478	0.478	0.004	0.004	0.004
320	115	0.162	0.162	0.162	0.004	0.004	0.004
640	115	0.315	0.315	0.315	0.004	0.004	0.004
960	115	0.472	0.472	0.472	0.004	0.004	0.004
320	120	0.162	0.162	0.162	0.004	0.004	0.004
640	120	0.318	0.318	0.318	0.004	0.004	0.004
960	120	0.486	0.486	0.486	0.004	0.004	0.004
320	125	0.161	0.161	0.161	0.004	0.004	0.004
640	125	0.315	0.315	0.315	0.004	0.004	0.004
960	125	0.475	0.475	0.475	0.004	0.004	0.004
320	130	0.159	0.159	0.159	0.004	0.004	0.004
640	130	0.312	0.312	0.312	0.004	0.004	0.004
960	130	0.485	0.485	0.485	0.004	0.004	0.004
320	135	0.160	0.160	0.160	0.004	0.004	0.004
640	135	0.311	0.311	0.311	0.004	0.004	0.004
960	135	0.486	0.486	0.486	0.004	0.004	0.004
320	140	0.164	0.164	0.164	0.004	0.004	0.004
640	140	0.318	0.318	0.318	0.004	0.004	0.004
960	140	0.472	0.472	0.472	0.004	0.004	0.004
320	145	0.156	0.156	0.156	0.004	0.004	0.004
640	145	0.309	0.309	0.309	0.004	0.004	0.004
960	145	0.471	0.471	0.471	0.004	0.004	0.004
320	150	0.162	0.162	0.162	0.004	0.004	0.004
640	150	0.319	0.319	0.319	0.004	0.004	0.004
960	150	0.479	0.479	0.479	0.004	0.004	0.004
320	155	0.164	0.164	0.164	0.004	0.004	0.004
640	155	0.319	0.319	0.319	0.004	0.004	0.004
960	155	0.477	0.477	0.477	0.004	0.004	0.004
320	160	0.163	0.163	0.163	0.004	0.004	0.004
640	160	0.316	0.316	0.316	0.004	0.004	0.004
960	160	0.481	0.481	0.481	0.004	0.004	0.004
320	165	0.160	0.160	0.160	0.004	0.004	0.004
640	165	0.314	0.314	0.314	0.004	0.004	0.004
960	165	0.469	0.469	0.469	0.004	0.004	0.004
320	170	0.159	0.159	0.159	0.004	0.004	0.004
640	170	0.312	0.312	0.312	0.004	0.004	0.004
960	170	0.473	0.473	0.473	0.004	0.004	0.004
320	175	0.160	0.160	0.160	0.004	0.004	0.004
640	175	0.315	0.315	0.315	0.004	0.004	0.004
960	175	0.477	0.477	0.477	0.004	0.004	0.004
320	180	0.163	0.163	0.163	0.004	0.004	0.004
640	180	0.315	0.315	0.315	0.004	0.004	0.004
960	180	0.470	0.470	0.470	0.004	0.004	0.004
320	185	0.163	0.163	0.163	0.004	0.004	0.004
640	185	0.319	0.319	0.319	0.004	0.004	0.004
960	185	0.477	0.477	0.477	0.004	0.004	0.004
320	190	0.162	0.162	0.162	0.004	0.004	0.004
640	190	0.319	0.319	0.319	0.004	0.004	0.004
960	190	0.483	0.483	0.483	0.004	0.004	0.004
320	195	0.160	0.160	0.160	0.004	0.004	0.004
640	195	0.315	0.315	0.315	0.004	0.004	0.004
960	195	0.472	0.472	0.472	0.004	0.004	0.004
320	200	0.165	0.165	0.165	0.004	0.004	0.004
640	200	0.324	0.324	0.324	0.004	0.004	0.004
960	200	0.479	0.479	0.479	0.004	0.004	0.004
320	205	0.163	0.163	0.163	0.004	0.004	0.004
640	205	0.321	0.321	0.321	0.004	0.004	0.004
960	205	0.481	0.481	0.481	0.004	0.004	0.004
320	210	0.161	0.161	0.161	0.004	0.004	0.004
640	210	0.317	0.317	0.317	0.004	0.004	0.004
960	210	0.470	0.470	0.470	0.004	0.004	0.004
320	215	0.156	0.156	0.156	0.004	0.004	0.004
640	215	0.317	0.317	0.317	0.004	0.004	0.004
960	215	0.466	0.466	0.466	0.004	0.004	0.004
320	220	0.164	0.164	0.164	0.004	0.004	0.004
640	220	0.322	0.322	0.322	0.004	0.004	0.004
960	220	0.473	0.473	0.473	0.004	0.004	0.004
320	225	0.159	0.159	0.159	0.004	0.004	0.004
640	225	0.314	0.314	0.314	0.004	0.004	0.004
960	225	0.466	0.466	0.466	0.004	0.004	0.004
320	230	0.158	0.158	0.158	0.004	0.004	0.004
640	230	0.311	0.311	0.311	0.004	0.004	0.004
960	230	0.468	0.468	0.468	0.004	0.004	0.004
320	235	0.156	0.156	0.156	0.004	0.004	0.004
640	235	0.312	0.312	0.312	0.004	0.004	0.004
960	235	0.472	0.472	0.472	0.004	0.004	0.004
320	240	0.161	0.161	0.161	0.004	0.004	0.004
640	240	0.319	0.319	0.319	0.005	0.005	0.005
960	240	0.479	0.479	0.479	0.004	0.004	0.004
320	245	0.157	0.157	0.157	0.004	0.004	0.004
640	245	0.316	0.316	0.316	0.004	0.004	0.004
960	245	0.468	0.468	0.468	0.004	0.004	0.004
320	250	0.160	0.160	0.160	0.004	0.004	0.004
640	250	0.314	0.314	0.314	0.004	0.004	0.004
960	250	0.470	0.470	0.470	0.004	0.004	0.004
320	255	0.159	0.159	0.159	0.004	0.004	0.004
640	255	0.313	0.313	0.313	0.004	0.004	0.004
960	255	0.469	0.469	0.469	0.004	0.004	0.004
320	260	0.158	0.158	0.158	0.004	0.004	0.004
640	260	0.318	0.318	0.318	0.004	0.004	0.004
960	260	0.468	0.468	0.468	0.004	0.004	0.004
320	265	0.159	0.159	0.159	0.004	0.004	0.004
640	265	0.313	0.313	0.313	0.004	0.004	0.004
960	265	0.467	0.467	0.467	0.004	0.004	0.004
320	270	0.161	0.161	0.161	0.004	0.004	0.004
640	270	0.315	0.315	0.315	0.004	0.004	0.004
960	270	0.477	0.477	0.477	0.004	0.004	0.004
320	275	0.157	0.157	0.157	0.004	0.004	0.004
640	275	0.311	0.311	0.311	0.004	0.004	0.004
960	275	0.464	0.464	0.464	0.004	0.004	0.004
320	280	0.161	0.161	0.161	0.004	0.004	0.004
640	280	0.312	0.312	0.312	0.004	0.004	0.004
960	280	0.467	0.467	0.467	0.004	0.004	0.004
320	285	0.160	0.160	0.160	0.004	0.004	0.004
640	285	0.314	0.314	0.314	0.004	0.004	0.004
960	285	0.466	0.466	0.466	0.004	0.004	0.004
320	290	0.160	0.160	0.160	0.004	0.004	0.004
640	290	0.310	0.310	0.310	0.004	0.004	0.004
960	290	0.468	0.468	0.468	0.004	0.004	0.004
320	295	0.156	0.156	0.156	0.004	0.004	0.004
640	295	0.314	0.314	0.314	0.004	0.004	0.004
960	295	0.467	0.467	0.467	0.004	0.004	0.004
320	300	0.160	0.160	0.160	0.004	0.004	0.004
640	300	0.313	0.313	0.313	0.004	0.004	0.004
960	300	0.469	0.469	0.469	0.004	0.004	0.004
320	305	0.160	0.160	0.160	0.004	0.004	0.004
640	305	0.314	0.314	0.314	0.004	0.004	0.004
960	305	0.471	0.471	0.471	0.005	0.005	0.005
320	310	0.158	0.158	0.158	0.004	0.004	0.004
640	310	0.312	0.312	0.312	0.004	0.004	0.004
960	310	0.462	0.462	0.462	0.004	0.004	0.004
320	315	0.160	0.160	0.160	0.004	0.004	0.004
640	315	0.316	0.316	0.316	0.004	0.004	0.004
960	315	0.462	0.462	0.462	0.006	0.006	0.006
320	320	0.159	0.159	0.159	0.004	0.004	0.004
640	320	0.311	0.311	0.311	0.004	0.004	0.004
960	320	0.466	0.466	0.466	0.004	0.004	0.004
320	325	0.156	0.156	0.156	0.004	0.004	0.004
640	325	0.309	0.309	0.309	0.004	0.004	0.004
960	325	0.453	0.453	0.453	0.004	0.004	0.004
320	330	0.158	0.158	0.158	0.004	0.004	0.004
640	330	0.310	0.310	0.310	0.004	0.004	0.004
960	330	0.465	0.465	0.465	0.005	0.005	0.005
320	335	0.162	0.162	0.162	0.004	0.004	0.004
640	335	0.314	0.314	0.314	0.004	0.004	0.004
960	335	0.466	0.466	0.466	0.006	0.006	0.006
320	340	0.158	0.158	0.158	0.004	0.004	0.004
640	340	0.310	0.310	0.310	0.004	0.004	0.004
960	340	0.463	0.463	0.463	0.007	0.007	0.007
320	345	0.159	0.159	0.159	0.004	0.004	0.004
640	345	0.309	0.309	0.309	0.004	0.004	0.004
960	345	0.471	0.471	0.471	0.006	0.006	0.006
320	350	0.157	0.157	0.157	0.004	0.004	0.004
640	350	0.313	0.313	0.313	0.004	0.004	0.004
960	350	0.458	0.458	0.458	0.006	0.006	0.006
320	355	0.156	0.156	0.156	0.004	0.004	0.004
640	355	0.310	0.310	0.310	0.004	0.004	0.004
960	355	0.463	0.463	0.463	0.006	0.006	0.006
320	360	0.156	0.156	0.156	0.004	0.004	0.004
640	360	0.307	0.307	0.307	0.004	0.004	0.004
