poll	workload	req_delay	req_min	req_max	rep_delay	rep_min	rep_max
20	50	0.014	0.014	0.014	0.016	0.016	0.016
25	50	0.016	0.016	0.016	0.031	0.031	0.031
30	50	0.019	0.019	0.019	0.005	0.005	0.005
35	50	0.022	0.022	0.022	0.524	0.524	0.524
40	50	0.023	0.023	0.023	0.004	0.004	0.004
45	50	0.027	0.027	0.027	0.005	0.005	0.005
50	50	0.029	0.029	0.029	0.047	0.047	0.047
55	50	0.033	0.033	0.033	0.009	0.009	0.009
60	50	0.034	0.034	0.034	0.004	0.004	0.004
65	50	0.037	0.037	0.037	0.004	0.004	0.004
70	50	0.039	0.039	0.039	0.004	0.004	0.004
75	50	0.040	0.040	0.040	0.004	0.004	0.004
80	50	0.043	0.043	0.043	0.004	0.004	0.004
85	50	0.046	0.046	0.046	0.004	0.004	0.004
90	50	0.049	0.049	0.049	0.005	0.005	0.005
95	50	0.051	0.051	0.051	0.021	0.021	0.021
100	50	0.055	0.055	0.055	0.082	0.082	0.082
105	50	0.056	0.056	0.056	0.473	0.473	0.473
110	50	0.064	0.064	0.064	0.012	0.012	0.012
115	50	0.062	0.062	0.062	0.018	0.018	0.018
120	50	0.064	0.064	0.064	0.005	0.005	0.005
125	50	0.064	0.064	0.064	0.004	0.004	0.004
130	50	0.069	0.069	0.069	0.004	0.004	0.004
135	50	0.069	0.069	0.069	0.004	0.004	0.004
140	50	0.074	0.074	0.074	0.004	0.004	0.004
145	50	0.077	0.077	0.077	0.004	0.004	0.004
150	50	0.078	0.078	0.078	0.004	0.004	0.004
155	50	0.081	0.081	0.081	0.004	0.004	0.004
160	50	0.084	0.084	0.084	0.004	0.004	0.004
165	50	0.084	0.084	0.084	0.004	0.004	0.004
170	50	0.091	0.091	0.091	0.004	0.004	0.004
175	50	0.094	0.094	0.094	0.004	0.004	0.004
180	50	0.093	0.093	0.093	0.004	0.004	0.004
185	50	0.099	0.099	0.099	0.004	0.004	0.004
190	50	0.096	0.096	0.096	0.004	0.004	0.004
195	50	0.105	0.105	0.105	0.004	0.004	0.004
200	50	0.103	0.103	0.103	0.004	0.004	0.004
205	50	0.106	0.106	0.106	0.004	0.004	0.004
210	50	0.107	0.107	0.107	0.004	0.004	0.004
215	50	0.107	0.107	0.107	0.004	0.004	0.004
220	50	0.114	0.114	0.114	0.004	0.004	0.004
225	50	0.116	0.116	0.116	0.004	0.004	0.004
230	50	0.119	0.119	0.119	0.004	0.004	0.004
235	50	0.115	0.115	0.115	0.004	0.004	0.004
240	50	0.121	0.121	0.121	0.004	0.004	0.004
245	50	0.124	0.124	0.124	0.004	0.004	0.004
250	50	0.126	0.126	0.126	0.004	0.004	0.004
255	50	0.133	0.133	0.133	0.004	0.004	0.004
260	50	0.133	0.133	0.133	0.004	0.004	0.004
265	50	0.132	0.132	0.132	0.004	0.004	0.004
270	50	0.141	0.141	0.141	0.004	0.004	0.004
275	50	0.139	0.139	0.139	0.004	0.004	0.004
280	50	0.143	0.143	0.143	0.004	0.004	0.004
285	50	0.148	0.148	0.148	0.004	0.004	0.004
290	50	0.145	0.145	0.145	0.004	0.004	0.004
295	50	0.149	0.149	0.149	0.004	0.004	0.004
300	50	0.154	0.154	0.154	0.004	0.004	0.004
305	50	0.154	0.154	0.154	0.004	0.004	0.004
310	50	0.161	0.161	0.161	0.004	0.004	0.004
315	50	0.160	0.160	0.160	0.004	0.004	0.004
320	50	0.162	0.162	0.162	0.004	0.004	0.004
325	50	0.160	0.160	0.160	0.004	0.004	0.004
330	50	0.167	0.167	0.167	0.004	0.004	0.004
335	50	0.165	0.165	0.165	0.004	0.004	0.004
340	50	0.178	0.178	0.178	0.004	0.004	0.004
345	50	0.173	0.173	0.173	0.004	0.004	0.004
350	50	0.181	0.181	0.181	0.004	0.004	0.004
355	50	0.178	0.178	0.178	0.004	0.004	0.004
360	50	0.186	0.186	0.186	0.004	0.004	0.004
365	50	0.182	0.182	0.182	0.004	0.004	0.004
370	50	0.188	0.188	0.188	0.004	0.004	0.004
375	50	0.186	0.186	0.186	0.004	0.004	0.004
380	50	0.186	0.186	0.186	0.004	0.004	0.004
385	50	0.195	0.195	0.195	0.004	0.004	0.004
390	50	0.207	0.207	0.207	0.004	0.004	0.004
395	50	0.199	0.199	0.199	0.004	0.004	0.004
400	50	0.199	0.199	0.199	0.004	0.004	0.004
405	50	0.204	0.204	0.204	0.004	0.004	0.004
410	50	0.204	0.204	0.204	0.004	0.004	0.004
415	50	0.210	0.210	0.210	0.004	0.004	0.004
420	50	0.208	0.208	0.208	0.004	0.004	0.004
425	50	0.217	0.217	0.217	0.004	0.004	0.004
430	50	0.215	0.215	0.215	0.004	0.004	0.004
435	50	0.215	0.215	0.215	0.004	0.004	0.004
440	50	0.216	0.216	0.216	0.004	0.004	0.004
445	50	0.222	0.222	0.222	0.004	0.004	0.004
450	50	0.222	0.222	0.222	0.004	0.004	0.004
455	50	0.220	0.220	0.220	0.004	0.004	0.004
460	50	0.227	0.227	0.227	0.004	0.004	0.004
465	50	0.230	0.230	0.230	0.004	0.004	0.004
470	50	0.229	0.229	0.229	0.004	0.004	0.004
475	50	0.239	0.239	0.239	0.004	0.004	0.004
480	50	0.240	0.240	0.240	0.004	0.004	0.004
485	50	0.243	0.243	0.243	0.004	0.004	0.004
490	50	0.246	0.246	0.246	0.004	0.004	0.004
495	50	0.241	0.241	0.241	0.004	0.004	0.004
500	50	0.252	0.252	0.252	0.004	0.004	0.004
505	50	0.261	0.261	0.261	0.004	0.004	0.004
510	50	0.260	0.260	0.260	0.004	0.004	0.004
515	50	0.260	0.260	0.260	0.004	0.004	0.004
520	50	0.251	0.251	0.251	0.004	0.004	0.004
525	50	0.273	0.273	0.273	0.004	0.004	0.004
530	50	0.266	0.266	0.266	0.004	0.004	0.004
535	50	0.267	0.267	0.267	0.004	0.004	0.004
540	50	0.276	0.276	0.276	0.004	0.004	0.004
545	50	0.263	0.263	0.263	0.004	0.004	0.004
550	50	0.275	0.275	0.275	0.004	0.004	0.004
555	50	0.279	0.279	0.279	0.004	0.004	0.004
560	50	0.278	0.278	0.278	0.004	0.004	0.004
565	50	0.279	0.279	0.279	0.004	0.004	0.004
570	50	0.281	0.281	0.281	0.004	0.004	0.004
575	50	0.290	0.290	0.290	0.004	0.004	0.004
580	50	0.289	0.289	0.289	0.004	0.004	0.004
585	50	0.296	0.296	0.296	0.004	0.004	0.004
590	50	0.293	0.293	0.293	0.004	0.004	0.004
595	50	0.298	0.298	0.298	0.004	0.004	0.004
600	50	0.302	0.302	0.302	0.004	0.004	0.004
605	50	0.309	0.309	0.309	0.004	0.004	0.004
610	50	0.306	0.306	0.306	0.004	0.004	0.004
615	50	0.321	0.321	0.321	0.004	0.004	0.004
620	50	0.307	0.307	0.307	0.004	0.004	0.004
625	50	0.311	0.311	0.311	0.004	0.004	0.004
630	50	0.330	0.330	0.330	0.004	0.004	0.004
635	50	0.329	0.329	0.329	0.004	0.004	0.004
640	50	0.331	0.331	0.331	0.004	0.004	0.004
645	50	0.314	0.314	0.314	0.004	0.004	0.004
650	50	0.322	0.322	0.322	0.004	0.004	0.004
655	50	0.328	0.328	0.328	0.004	0.004	0.004
660	50	0.330	0.330	0.330	0.004	0.004	0.004
665	50	0.321	0.321	0.321	0.004	0.004	0.004
670	50	0.345	0.345	0.345	0.004	0.004	0.004
675	50	0.335	0.335	0.335	0.004	0.004	0.004
680	50	0.338	0.338	0.338	0.004	0.004	0.004
685	50	0.335	0.335	0.335	0.004	0.004	0.004
690	50	0.352	0.352	0.352	0.004	0.004	0.004
695	50	0.351	0.351	0.351	0.004	0.004	0.004
700	50	0.345	0.345	0.345	0.004	0.004	0.004
705	50	0.362	0.362	0.362	0.004	0.004	0.004
710	50	0.354	0.354	0.354	0.004	0.004	0.004
715	50	0.356	0.356	0.356	0.004	0.004	0.004
720	50	0.354	0.354	0.354	0.004	0.004	0.004
725	50	0.376	0.376	0.376	0.004	0.004	0.004
730	50	0.375	0.375	0.375	0.004	0.004	0.004
735	50	0.382	0.382	0.382	0.004	0.004	0.004
740	50	0.376	0.376	0.376	0.004	0.004	0.004
745	50	0.374	0.374	0.374	0.004	0.004	0.004
750	50	0.375	0.375	0.375	0.004	0.004	0.004
755	50	0.374	0.374	0.374	0.004	0.004	0.004
760	50	0.371	0.371	0.371	0.004	0.004	0.004
765	50	0.393	0.393	0.393	0.004	0.004	0.004
770	50	0.369	0.369	0.369	0.004	0.004	0.004
775	50	0.393	0.393	0.393	0.004	0.004	0.004
780	50	0.393	0.393	0.393	0.004	0.004	0.004
785	50	0.391	0.391	0.391	0.004	0.004	0.004
790	50	0.397	0.397	0.397	0.004	0.004	0.004
795	50	0.381	0.381	0.381	0.004	0.004	0.004
800	50	0.407	0.407	0.407	0.004	0.004	0.004
805	50	0.393	0.393	0.393	0.004	0.004	0.004
810	50	0.402	0.402	0.402	0.004	0.004	0.004
