poll	workload	req_delay	req_min	req_max	rep_delay	rep_min	rep_max
20	50	0.014	0.014	0.014	0.031	0.018	0.044
40	50	0.024	0.023	0.024	0.004	0.004	0.005
60	50	0.034	0.034	0.035	0.004	0.004	0.005
80	50	0.044	0.044	0.044	0.005	0.005	0.005
100	50	0.055	0.055	0.055	0.106	0.086	0.126
120	50	0.067	0.065	0.069	0.006	0.006	0.006
140	50	0.077	0.076	0.078	0.004	0.004	0.004
160	50	0.088	0.085	0.091	0.004	0.004	0.004
180	50	0.096	0.095	0.097	0.005	0.004	0.005
200	50	0.110	0.104	0.117	0.006	0.004	0.007
220	50	0.122	0.116	0.127	0.004	0.004	0.004
240	50	0.129	0.125	0.133	0.005	0.004	0.005
260	50	0.141	0.138	0.144	0.008	0.004	0.013
280	50	0.156	0.146	0.166	0.004	0.004	0.004
300	50	0.174	0.157	0.191	0.006	0.004	0.007
320	50	0.181	0.166	0.197	0.004	0.004	0.004
340	50	0.190	0.175	0.204	0.004	0.004	0.004
360	50	0.199	0.192	0.207	0.005	0.005	0.005
380	50	0.204	0.198	0.209	0.004	0.004	0.004
400	50	0.219	0.215	0.222	0.004	0.004	0.004
420	50	0.238	0.233	0.243	0.004	0.004	0.004
440	50	0.247	0.239	0.256	0.004	0.004	0.004
460	50	0.256	0.242	0.271	0.004	0.004	0.004
480	50	0.281	0.257	0.305	0.005	0.004	0.006
500	50	0.295	0.276	0.314	0.004	0.004	0.004
520	50	0.306	0.272	0.340	0.009	0.007	0.011
540	50	0.329	0.293	0.366	0.004	0.004	0.005
560	50	0.339	0.297	0.382	0.004	0.004	0.004
580	50	0.360	0.310	0.410	0.004	0.004	0.004
600	50	0.389	0.332	0.447	0.009	0.004	0.015
620	50	0.434	0.386	0.482	0.011	0.004	0.018
640	50	0.411	0.351	0.472	0.007	0.004	0.010
660	50	0.415	0.363	0.466	0.004	0.004	0.004
680	50	0.432	0.383	0.481	0.004	0.004	0.004
700	50	0.445	0.390	0.500	0.004	0.004	0.004
720	50	0.469	0.423	0.515	0.005	0.005	0.006
740	50	0.462	0.404	0.519	0.004	0.004	0.004
760	50	0.466	0.418	0.514	0.004	0.004	0.004
780	50	0.504	0.457	0.552	0.005	0.004	0.006
800	50	0.536	0.490	0.582	0.004	0.004	0.004
820	50	0.533	0.492	0.573	0.004	0.004	0.004
840	50	0.554	0.519	0.590	0.004	0.004	0.004
860	50	0.540	0.506	0.574	0.004	0.004	0.004
880	50	0.573	0.541	0.605	0.004	0.004	0.004
900	50	0.576	0.543	0.609	0.004	0.004	0.004
920	50	0.612	0.583	0.641	0.004	0.004	0.004
940	50	0.607	0.585	0.629	0.004	0.004	0.004
960	50	0.661	0.635	0.687	0.004	0.004	0.004
980	50	0.653	0.623	0.683	0.004	0.004	0.004
1000	50	0.668	0.635	0.702	0.004	0.004	0.004
1020	50	0.698	0.674	0.722	0.004	0.004	0.004
1040	50	0.712	0.700	0.724	0.006	0.004	0.008
1060	50	0.751	0.734	0.768	0.004	0.004	0.004
1080	50	0.739	0.722	0.756	0.005	0.004	0.006
1100	50	0.747	0.739	0.755	0.004	0.004	0.004
1120	50	0.766	0.760	0.773	0.004	0.004	0.004
1140	50	0.806	0.803	0.808	0.004	0.004	0.004
1160	50	0.871	0.869	0.874	0.004	0.004	0.004
1180	50	0.874	0.866	0.882	0.004	0.004	0.004
1200	50	0.897	0.886	0.908	0.004	0.004	0.004
1220	50	0.874	0.868	0.881	0.004	0.004	0.004
1240	50	0.949	0.936	0.962	0.004	0.004	0.004
1260	50	0.934	0.911	0.957	0.004	0.004	0.004
1280	50	0.963	0.953	0.972	0.004	0.004	0.004
1300	50	1.018	0.999	1.036	0.004	0.004	0.004
1320	50	1.035	1.010	1.059	0.004	0.004	0.004
1340	50	1.066	1.027	1.105	0.004	0.004	0.004
1360	50	1.096	1.046	1.146	0.004	0.004	0.004
1380	50	1.140	1.087	1.194	0.004	0.004	0.004
1400	50	1.182	1.132	1.232	0.004	0.004	0.004
1420	50	1.163	1.129	1.196	0.004	0.004	0.004
1440	50	1.187	1.133	1.241	0.004	0.004	0.004
1460	50	1.235	1.187	1.282	0.004	0.004	0.004
1480	50	1.278	1.215	1.342	0.004	0.004	0.004
1500	50	1.390	1.323	1.456	0.004	0.004	0.004
1520	50	1.349	1.287	1.412	0.004	0.004	0.004
1540	50	1.403	1.336	1.469	0.004	0.004	0.004
1560	50	1.477	1.386	1.568	0.006	0.004	0.008
1580	50	1.505	1.428	1.582	0.004	0.004	0.004
1600	50	1.629	1.532	1.727	0.004	0.004	0.004
1620	50	1.588	1.492	1.684	0.005	0.004	0.006
1640	50	1.694	1.601	1.787	0.004	0.004	0.004
1660	50	1.638	1.540	1.737	0.004	0.004	0.004
1680	50	1.799	1.673	1.925	0.004	0.004	0.004
1700	50	1.869	1.746	1.992	0.004	0.004	0.004
1720	50	1.953	1.810	2.096	0.004	0.004	0.004
1740	50	1.965	1.843	2.088	0.004	0.004	0.004
1760	50	2.011	1.867	2.156	0.004	0.004	0.004
1780	50	2.077	1.921	2.233	0.004	0.004	0.004
1800	50	2.237	2.085	2.390	0.004	0.004	0.004
1820	50	2.309	2.145	2.473	0.004	0.004	0.004
1840	50	2.409	2.235	2.583	0.004	0.004	0.004
1860	50	2.514	2.343	2.685	0.004	0.004	0.004
1880	50	2.399	2.209	2.589	0.004	0.004	0.004
1900	50	2.595	2.426	2.764	0.004	0.004	0.004
1920	50	2.696	2.500	2.891	0.004	0.004	0.004
1940	50	2.620	2.421	2.818	0.004	0.004	0.004
1960	50	2.718	2.509	2.926	0.004	0.004	0.004
1980	50	3.165	2.937	3.393	0.004	0.004	0.004
2000	50	3.286	3.032	3.539	0.004	0.004	0.004
2020	50	3.177	2.921	3.433	0.004	0.004	0.004
2040	50	3.407	3.145	3.669	0.004	0.004	0.004
