poll	workload	req_delay	req_min	req_max	rep_delay	rep_min	rep_max
20	50	0.626	0.017	1.017	0.455	0.070	1.210
25	50	0.622	0.019	1.021	0.173	0.044	0.325
30	50	0.805	0.021	1.325	0.120	0.066	0.186
35	50	0.022	0.021	0.022	0.558	0.517	0.634
40	50	0.025	0.024	0.025	0.092	0.006	0.220
45	50	0.027	0.027	0.027	0.008	0.006	0.010
50	50	0.030	0.029	0.031	0.125	0.047	0.166
55	50	0.034	0.034	0.035	0.011	0.011	0.012
60	50	0.035	0.034	0.036	0.057	0.006	0.110
65	50	0.037	0.037	0.037	0.004	0.004	0.004
70	50	0.039	0.039	0.040	0.004	0.004	0.004
75	50	0.043	0.041	0.044	0.007	0.004	0.011
80	50	0.045	0.044	0.046	0.004	0.004	0.005
85	50	0.049	0.047	0.050	0.012	0.008	0.018
90	50	0.050	0.048	0.052	0.006	0.004	0.009
95	50	0.053	0.052	0.053	0.017	0.012	0.025
100	50	0.057	0.057	0.057	0.172	0.123	0.218
105	50	0.059	0.059	0.061	0.506	0.481	0.543
110	50	0.069	0.067	0.071	0.011	0.009	0.013
115	50	0.065	0.064	0.067	0.021	0.011	0.036
120	50	0.069	0.068	0.072	0.057	0.010	0.138
125	50	0.071	0.067	0.073	0.009	0.005	0.014
130	50	0.073	0.069	0.076	0.006	0.004	0.007
135	50	0.075	0.073	0.078	0.005	0.004	0.007
140	50	0.079	0.077	0.083	0.005	0.004	0.006
145	50	0.082	0.078	0.087	0.005	0.004	0.007
150	50	0.089	0.084	0.095	0.006	0.005	0.009
155	50	0.089	0.083	0.098	0.005	0.004	0.007
160	50	0.091	0.085	0.097	0.006	0.004	0.009
165	50	0.092	0.088	0.095	0.005	0.004	0.006
170	50	0.097	0.094	0.099	0.005	0.004	0.008
175	50	0.100	0.094	0.107	0.005	0.004	0.005
180	50	0.102	0.099	0.108	0.005	0.004	0.006
185	50	0.106	0.101	0.113	0.004	0.004	0.004
190	50	0.108	0.099	0.117	0.004	0.004	0.005
195	50	0.113	0.107	0.124	0.004	0.004	0.004
200	50	0.119	0.113	0.130	0.006	0.004	0.007
205	50	0.126	0.107	0.143	0.008	0.004	0.012
210	50	0.124	0.113	0.140	0.006	0.004	0.009
215	50	0.122	0.108	0.136	0.004	0.004	0.005
220	50	0.129	0.118	0.140	0.004	0.004	0.004
225	50	0.129	0.116	0.138	0.004	0.004	0.004
230	50	0.134	0.126	0.139	0.006	0.004	0.007
235	50	0.138	0.134	0.145	0.007	0.005	0.009
240	50	0.137	0.132	0.145	0.006	0.004	0.008
